,M,Zprime_cH1,Wprime_cH1,WprimeToWZ,WprimeToWH,ZprimeToWW,ZprimeToZH,Zprime_cH3,Wprime_cH3,Zprime Up,Zprime Down,Wprime Up,Wprime Down,Zprime3 Up,Zprime3 Down,Wprime3 Up,Wprime3 Down,BrWprimeToWZ,BrWprimeToWH,BrZprimeToWW,BrZprimeToZH
12,2000,2.15525458828e-05,4.1642360541e-05,2.048e-05,2.037e-05,1.049e-05,1.057e-05,0.000206766286316,0.00039976894131,22.2,-16.4,21.9,-16.2,22.3,-16.5,21.8,-16.2,0.4918068940841122,0.4891653531490901,0.4867174419691893,0.49042930043987903
13,2100,1.55076531692e-05,3.05303298169e-05,1.494e-05,1.492e-05,7.623e-06,7.681e-06,0.000147934714023,0.000291050583555,23.0,-16.9,22.6,-16.6,23.1,-16.9,22.7,-16.7,0.48934944658639074,0.48869436031251334,0.4915637406142254,0.495303829418584
14,2200,1.1520675143e-05,2.24666926661e-05,1.103e-05,1.101e-05,5.578e-06,5.617e-06,0.000109309200519,0.000213347272218,23.6,-17.2,23.1,-17.0,23.7,-17.3,23.1,-16.9,0.49094898674797693,0.4900587800630305,0.4841730133662532,0.48755823163826534
15,2300,8.41211891666e-06,1.6671746976e-05,8.202e-06,8.13e-06,4.117e-06,4.155e-06,7.94391936249e-05,0.000157405862963,24.4,-17.6,23.7,-17.3,24.3,-17.6,23.8,-17.3,0.4919700384013314,0.4876513548162429,0.48941295775626514,0.4939302500552057
16,2400,6.26225801044e-06,1.2492422648e-05,6.101e-06,6.1e-06,3.057e-06,3.077e-06,5.8898716152e-05,0.000117555226958,25.0,-18.0,24.5,-17.7,25.1,-18.0,24.5,-17.7,0.4883760477777905,0.4882959992533228,0.48816257568812765,0.49135631187189033
17,2500,4.67833733913e-06,9.32843155036e-06,4.577e-06,4.573e-06,2.277e-06,2.295e-06,4.38418247677e-05,8.73432546436e-05,25.7,-18.4,25.1,-18.1,25.7,-18.4,25.1,-18.1,0.4906505424079964,0.49022174577928057,0.4867113752048156,0.49055889595742286
18,2600,3.51587284361e-06,7.06766861142e-06,3.462e-06,3.461e-06,1.707e-06,1.716e-06,3.2845744262e-05,6.60108027393e-05,26.4,-18.8,25.7,-18.4,26.4,-18.8,25.7,-18.4,0.4898362091292835,0.4896947197563403,0.4855124391379581,0.4880722586764711
19,2700,2.64482223267e-06,5.35917490828e-06,2.613e-06,2.619e-06,1.289e-06,1.297e-06,2.46372925513e-05,4.99169754047e-05,27.0,-19.1,26.4,-18.8,27.1,-19.2,26.4,-18.8,0.4875750548769883,0.48869463020391596,0.4873673489574115,0.49039212691835743
20,2800,1.99506254108e-06,4.06464762764e-06,2.002e-06,2.005e-06,9.778e-07,9.792e-07,1.85400015557e-05,3.77676558362e-05,27.7,-19.5,26.9,-19.1,27.7,-19.5,27.0,-19.1,0.49253962050392874,0.4932776918633252,0.49010994886941306,0.49081168125683095
21,2900,1.50168543942e-06,3.12179745441e-06,1.53e-06,1.516e-06,7.345e-07,7.375e-07,1.39248599598e-05,2.8947634578e-05,28.6,-20.0,27.5,-19.4,28.5,-19.9,27.6,-19.5,0.4901022639500999,0.48561766807081796,0.48911708185949243,0.4911148371291704
22,3000,1.14402832582e-06,2.38904785731e-06,1.17e-06,1.168e-06,5.644e-07,5.657e-07,1.05861164826e-05,2.21047632341e-05,29.3,-20.3,28.2,-19.8,29.1,-20.3,28.2,-19.8,0.48973485249365695,0.48889769889965073,0.4933444279847333,0.49448076348505254
23,3100,8.8078270161e-07,1.84098965833e-06,9.007e-07,8.969e-07,4.305e-07,4.32e-07,8.13651149062e-06,1.7011511057e-05,29.9,-20.7,28.8,-20.1,29.8,-20.6,28.8,-20.1,0.48924772386665316,0.48718361667147914,0.4887698171331937,0.49047284785491213
24,3200,6.74065160672e-07,1.41554138005e-06,6.934e-07,6.959e-07,3.307e-07,3.323e-07,6.21739136909e-06,1.30496025107e-05,30.5,-21.0,29.5,-20.4,30.5,-20.9,29.6,-20.5,0.48984791951154943,0.49161402824933265,0.4906053884617226,0.49297904622265015
25,3300,5.18408712937e-07,1.0957279145e-06,5.36e-07,5.37e-07,2.531e-07,2.539e-07,4.77381459882e-06,1.00888246553e-05,31.4,-21.4,30.1,-20.8,31.2,-21.3,30.2,-20.8,0.4891725335340994,0.490085168857857,0.4882248189195813,0.4897680028592718
26,3400,3.97415187365e-07,8.47581221058e-07,4.145e-07,4.151e-07,1.944e-07,1.954e-07,3.65533320968e-06,7.78851287977e-06,31.8,-21.6,31.0,-21.2,31.9,-21.7,30.7,-21.1,0.4890386781842537,0.4897465749439896,0.4891609736631838,0.49167723381577216
27,3500,3.06435618507e-07,6.58558632165e-07,3.232e-07,3.228e-07,1.5e-07,1.506e-07,2.81458500893e-06,6.0480360706e-06,32.6,-22.0,31.5,-21.5,32.6,-22.1,31.4,-21.4,0.4907687549967808,0.490161367923765,0.4894992322720914,0.49145722920117985
28,3600,2.37364447786e-07,5.10973443295e-07,2.521e-07,2.497e-07,1.157e-07,1.163e-07,2.17753300542e-06,4.68950288981e-06,33.2,-22.3,32.0,-21.8,33.2,-22.3,32.0,-21.8,0.49337202022543325,0.48867510293649624,0.48743609701951374,0.4899638555174542
29,3700,1.83653459472e-07,4.00391464571e-07,1.958e-07,1.951e-07,8.982e-08,9.001e-08,1.6830079481e-06,3.66708558433e-06,34.1,-22.8,32.7,-22.1,34.1,-22.7,32.8,-22.1,0.48902141360528295,0.48727312458830796,0.48907328104916015,0.4901078382012347
30,3800,1.42689307488e-07,3.13341526941e-07,1.53e-07,1.527e-07,6.935e-08,6.975e-08,1.30208521349e-06,2.8685945077e-06,34.6,-23.0,33.5,-22.5,34.8,-23.1,33.5,-22.5,0.48828510377690487,0.4873276820047933,0.4860210005983262,0.4888242940408544
31,3900,1.1033643238e-07,2.43431597823e-07,1.193e-07,1.189e-07,5.38e-08,5.403e-08,1.00942510275e-06,2.22668386163e-06,35.5,-23.4,34.0,-22.7,35.4,-23.4,34.0,-22.7,0.4900760668166975,0.4884328947569601,0.4875995973361922,0.48968413093075214
32,4000,8.56162796843e-08,1.90356778677e-07,9.38e-08,9.367e-08,4.194e-08,4.185e-08,7.82586347571e-07,1.73977182065e-06,36.1,-23.7,34.8,-23.1,36.0,-23.7,34.8,-23.1,0.49275891645109804,0.4920759883152916,0.48986010785155387,0.4888089059033746
33,4100,6.63019594011e-08,1.49054288185e-07,7.31e-08,7.292e-08,3.248e-08,3.251e-08,6.04799778209e-07,1.36005372468e-06,36.9,-24.1,35.3,-23.3,36.9,-24.1,35.3,-23.4,0.49042534025771406,0.489217726560773,0.4898799416094048,0.49033241692493074
34,4200,5.13828466873e-08,1.17209270735e-07,5.733e-08,5.731e-08,2.521e-08,2.526e-08,4.6900336306e-07,1.06885907434e-06,37.6,-24.4,36.1,-23.8,37.7,-24.4,36.1,-23.8,0.4891251318303836,0.4889544968637587,0.49063066033340286,0.4916037477200221
35,4300,3.98845198405e-08,9.1582054131e-08,4.49e-08,4.48e-08,1.953e-08,1.961e-08,3.63807348708e-07,8.35238763426e-07,38.4,-24.8,36.8,-24.1,38.2,-24.7,36.8,-24.1,0.4902707241723857,0.4891788071920463,0.48966366094167246,0.49166945166749604
36,4400,3.10711145977e-08,7.20508239141e-08,3.53e-08,3.513e-08,1.514e-08,1.519e-08,2.83233748372e-07,6.56725022193e-07,39.2,-25.2,37.5,-24.4,39.0,-25.1,37.5,-24.4,0.4899319408489367,0.4875724952414489,0.4872692916243409,0.4888785032875653
37,4500,2.41115422606e-08,5.58709763831e-08,2.76e-08,2.763e-08,1.18e-08,1.185e-08,2.19665686883e-07,5.09013471227e-07,39.8,-25.4,38.1,-24.7,39.7,-25.4,38.1,-24.7,0.49399530465962144,0.4945322560777297,0.4893921704577998,0.4914658660953329
38,4600,1.87245781882e-08,4.42582098647e-08,2.171e-08,2.179e-08,9.181e-09,9.25e-09,1.70514590738e-07,4.02974019882e-07,40.6,-25.8,38.8,-25.0,40.5,-25.7,38.9,-25.1,0.4905304590124357,0.4923380332510812,0.4903181213334757,0.49400311756177434
39,4700,1.45913050462e-08,3.49124193215e-08,1.7e-08,1.708e-08,7.131e-09,7.136e-09,1.32807141841e-07,3.17681355123e-07,41.3,-26.1,39.5,-25.3,41.3,-26.1,39.6,-25.3,0.486932739992927,0.48922418818112906,0.48871570962441907,0.48905837945307173
40,4800,1.1363496292e-08,2.72155281579e-08,1.337e-08,1.328e-08,5.567e-09,5.583e-09,1.02977399869e-07,2.47398407899e-07,42.1,-26.5,40.3,-25.7,42.1,-26.5,40.3,-25.7,0.49126366104047176,0.4879567254014559,0.48990203868145904,0.491310056037109
41,4900,8.79999896428e-09,2.14473084508e-08,1.054e-08,1.049e-08,4.324e-09,4.335e-09,8.00177300813e-08,1.94964806406e-07,42.6,-26.7,40.8,-25.9,42.7,-26.7,40.8,-25.9,0.4914369569579651,0.48910566209573564,0.4913636941949098,0.492613694342029
42,5000,6.83626872445e-09,1.68032505289e-08,8.233e-09,8.249e-09,3.357e-09,3.364e-09,6.21389521783e-08,1.52734674179e-07,43.6,-27.1,41.5,-26.2,43.7,-27.1,41.5,-26.2,0.4899647235420325,0.49091692025971406,0.49105734945638513,0.4920812998425021
43,5100,5.30491238542e-09,1.31300813694e-08,6.437e-09,6.526e-09,2.603e-09,2.608e-09,4.82003983264e-08,1.19279409755e-07,44.4,-27.4,42.2,-26.5,44.5,-27.5,42.2,-26.5,0.4902482946527352,0.49702662279070214,0.4906772837858877,0.49161980642089714
44,5200,4.14562333735e-09,1.03455206541e-08,5.068e-09,5.08e-09,2.022e-09,2.031e-09,3.76533951109e-08,9.39561539722e-08,45.1,-27.7,43.3,-27.0,45.1,-27.7,43.3,-27.0,0.4898738468026273,0.4910337690918205,0.48774329828346624,0.4899142625191494
45,5300,3.22356752644e-09,8.14541302043e-09,3.964e-09,3.98e-09,1.563e-09,1.564e-09,2.92691041467e-08,7.39487545919e-08,46.2,-28.2,43.9,-27.2,46.2,-28.2,43.8,-27.2,0.4866542666477014,0.4886185623758455,0.4848665297624849,0.4851767450726336
46,5400,2.47606095599e-09,6.36799649208e-09,3.112e-09,3.119e-09,1.213e-09,1.218e-09,2.24751831193e-08,5.77917981942e-08,46.8,-28.4,44.7,-27.6,46.9,-28.5,44.9,-27.7,0.488693736541855,0.4897929833785494,0.48989100896953,0.4919103453626442
47,5500,1.9020218505e-09,4.96919329107e-09,2.436e-09,2.449e-09,9.37e-10,9.384e-10,1.72587938795e-08,4.50858495975e-08,47.7,-28.8,45.4,-27.8,47.7,-28.8,45.3,-27.8,0.49022041553055873,0.49283653433265123,0.49263366756469346,0.4933697264063056
48,5600,1.47409781487e-09,3.89334531319e-09,1.905e-09,1.907e-09,7.257e-10,7.296e-10,1.33718798372e-08,3.52613426549e-08,48.7,-29.2,46.1,-28.1,48.8,-29.2,46.1,-28.2,0.4892964396315374,0.48981013668101936,0.49230111643846314,0.4949468024714107
49,5700,1.14465543771e-09,3.03508316609e-09,1.498e-09,1.493e-09,5.554e-10,5.635e-10,1.0380181257e-08,2.751515128e-08,49.5,-29.5,47.3,-28.6,49.5,-29.5,47.1,-28.6,0.49356143407754627,0.49191403276220064,0.4852115158000161,0.4922878810826595
50,5800,8.83375103968e-10,2.38523640063e-09,1.168e-09,1.163e-09,4.31e-10,4.307e-10,8.00900133984e-09,2.16236585511e-08,50.4,-29.8,47.9,-28.9,50.4,-29.8,47.9,-28.9,0.4896789264542091,0.4875826981731551,0.4879014566564159,0.48756185007405645
51,5900,6.78686534398e-10,1.85359697651e-09,9.098e-10,9.067e-10,3.306e-10,3.315e-10,6.15173396435e-09,1.6799796565e-08,51.2,-30.1,48.6,-29.2,51.2,-30.2,48.7,-29.2,0.4908294583610051,0.4891570343986847,0.48711737045622194,0.4884434613013841
52,6000,5.23698956022e-10,1.44235683621e-09,7.04e-10,7.108e-10,2.546e-10,2.564e-10,4.74557716921e-09,1.30723476879e-08,52.1,-30.5,49.4,-29.5,52.2,-30.5,49.4,-29.5,0.4880900359233304,0.4928045419521352,0.4861571654332351,0.48959425458398076
53,6100,4.00659484173e-10,1.12519537514e-09,5.489e-10,5.51e-10,1.964e-10,1.967e-10,3.62988284403e-09,1.01934602677e-08,53.0,-30.8,50.1,-29.8,53.0,-30.8,50.2,-29.8,0.48782639186701626,0.4896927344119619,0.4901918156396288,0.49094058114213335
54,6200,3.07133169262e-10,8.76908183849e-10,4.292e-10,4.264e-10,1.502e-10,1.501e-10,2.78204666945e-09,7.941544075e-09,54.4,-31.3,51.3,-30.2,54.3,-31.3,51.3,-30.2,0.4894469089296428,0.48625387224510647,0.4890386810415513,0.48871308937641045
55,6300,2.34901646553e-10,6.75855353667e-10,3.344e-10,3.338e-10,1.151e-10,1.157e-10,2.12678652784e-09,6.1197505584e-09,55.3,-31.7,52.0,-30.5,55.1,-31.6,52.1,-30.5,0.4947804262933484,0.4938926623705732,0.4899923082234777,0.49254656873550284
56,6400,1.77993057422e-10,5.25496916688e-10,2.586e-10,2.584e-10,8.73e-11,8.754e-11,1.61161786298e-09,4.75665084743e-09,56.0,-31.9,53.0,-30.9,56.0,-32.0,53.0,-30.9,0.49210564665127615,0.49172505450382736,0.49046856806904704,0.49181693526648773
57,6500,1.35922067457e-10,4.05654085943e-10,1.996e-10,1.986e-10,6.658e-11,6.683e-11,1.23054697282e-09,3.66728592423e-09,57.0,-32.3,53.7,-31.1,57.1,-32.3,53.8,-31.1,0.49204484046056557,0.4895796859492401,0.4898395179359901,0.49167880720429885
58,6600,1.03815118579e-10,3.13819823466e-10,1.54e-10,1.539e-10,5.049e-11,5.072e-11,9.39647553921e-10,2.84012224852e-09,58.1,-32.7,54.6,-31.5,58.0,-32.6,54.6,-31.4,0.490727444490723,0.4904087903059887,0.4863453482604147,0.4885608251885172
59,6700,7.80489746488e-11,2.41984891792e-10,1.18e-10,1.185e-10,3.847e-11,3.86e-11,7.06312277504e-10,2.18964507216e-09,59.0,-33.0,55.8,-31.9,58.9,-33.0,55.8,-31.9,0.48763374905830004,0.48969999375769957,0.49289564882953235,0.4945612696859878
60,6800,5.9431449348e-11,1.86567145453e-10,9.102e-11,9.12e-11,2.906e-11,2.915e-11,5.37783191175e-10,1.68832225397e-09,60.3,-33.5,56.4,-32.1,60.3,-33.4,56.4,-32.1,0.4878672489681725,0.4888320490650114,0.4889667056551084,0.49048105539732995
61,6900,4.4801969753e-11,1.43483969113e-10,7.002e-11,6.991e-11,2.2e-11,2.203e-11,4.05317296969e-10,1.29804292606e-09,61.7,-33.9,57.6,-32.5,61.5,-33.8,57.5,-32.5,0.48799876692047833,0.4872321307542222,0.49104983823901743,0.49171945165479786
62,7000,3.34925492399e-11,1.09241160929e-10,5.379e-11,5.372e-11,1.644e-11,1.653e-11,3.0288855252e-10,9.86456432661e-10,62.4,-34.1,58.7,-32.9,62.4,-34.2,58.7,-32.9,0.49239681766985405,0.4917560335605979,0.4908554401829428,0.4935426050014626
63,7100,2.50637446285e-11,8.32704253702e-11,4.084e-11,4.114e-11,1.229e-11,1.237e-11,2.26680002799e-10,7.53060574417e-10,63.6,-34.5,59.7,-33.3,63.6,-34.6,59.6,-33.2,0.49045023870642335,0.4940529583835028,0.4903497135868929,0.49354157502602647
64,7200,1.87444702212e-11,6.33115254415e-11,3.139e-11,3.14e-11,9.216e-12,9.261e-12,1.69514230816e-10,5.72481552707e-10,64.8,-34.9,60.6,-33.6,64.8,-34.9,60.6,-33.6,0.4958023010992594,0.4959602502235344,0.4916650025977636,0.49406571061826043
65,7300,1.39228675573e-11,4.82837853128e-11,2.371e-11,2.382e-11,6.864e-12,6.917e-12,1.2588578804e-10,4.36549258318e-10,66.2,-35.3,61.8,-34.0,66.0,-35.3,61.7,-33.9,0.49105512018989317,0.4933333177108079,0.4930018885657708,0.49680857564240044
66,7400,1.03566443174e-11,3.6573983902e-11,1.806e-11,1.795e-11,5.098e-12,5.127e-12,9.36129729162e-11,3.30629920941e-10,67.3,-35.7,62.7,-34.3,67.3,-35.7,62.7,-34.3,0.49379362249384084,0.49078602014199574,0.49224438377544244,0.49504451855957105
67,7500,7.66545439362e-12,2.75643285283e-11,1.362e-11,1.365e-11,3.768e-12,3.784e-12,6.92911627297e-11,2.49117762144e-10,68.4,-36.0,64.0,-34.7,68.3,-36.0,64.0,-34.7,0.4941168795755896,0.4952052427464609,0.49155598696616437,0.4936432735350228
68,7600,5.66439235221e-12,2.07948421711e-11,1.023e-11,1.026e-11,2.777e-12,2.788e-12,5.11971014053e-11,1.87937494389e-10,69.7,-36.4,65.1,-35.0,69.7,-36.4,65.1,-35.1,0.4919489129000134,0.4933915783337378,0.4902555874182224,0.4921975432920432
69,7700,4.14771251067e-12,1.55617199508e-11,7.666e-12,7.722e-12,2.041e-12,2.045e-12,3.74851015939e-11,1.40603743095e-10,70.8,-36.8,66.0,-35.3,70.9,-36.8,66.0,-35.3,0.4926190693725925,0.4962176433205268,0.4920784636711254,0.49304285066509135
70,7800,3.04760251067e-12,1.17337892152e-11,5.742e-12,5.767e-12,1.493e-12,1.498e-12,2.75388821615e-11,1.06026765151e-10,72.5,-37.2,67.3,-35.7,72.5,-37.2,67.3,-35.8,0.4893559867738027,0.49148658581060956,0.4898932832522741,0.4915339171546595
71,7900,2.2071130323e-12,8.78713892191e-12,4.302e-12,4.293e-12,1.088e-12,1.091e-12,1.9943417573e-11,7.93942661017e-11,74.1,-37.7,68.6,-36.2,73.8,-37.7,68.5,-36.1,0.4895791495083025,0.48855492534615125,0.49295164501213207,0.49431088668036405
72,8000,1.5949044765e-12,6.50245945722e-12,3.193e-12,3.205e-12,7.86e-13,7.924e-13,1.44091666822e-11,5.87437926244e-11,75.0,-38.0,69.9,-36.5,75.2,-38.1,69.8,-36.5,0.4910449686010199,0.4928904241673251,0.492819483286465,0.4968322627941411
